date_iso,date,title,content,image,video
2020-05-19T08:50:00,"19 mai 2020 à 08:50","Composer ses premières chansons ? Avec quelle méthode ? En cherchant quel chemin ?  On parle de tous ces sujets avec ...","Composer ses premières chansons ? Avec quelle méthode ? En cherchant quel chemin ?  On parle de tous ces sujets avec Nico Sarro dans le 🎬Vlog de samedi dernier ⤵  https://zcu.io/lmQmMis à jour : 19 mai 2020 à 08:50","",""
2020-05-18T17:00:00,"18 mai 2020 à 17:00","Le 🔴Live de samedi ? Un super duo avec l'excellent David ""Byssus"" Mignot au piano. Une titre écrit avant la formation...","Le 🔴Live de samedi ? Un super duo avec l'excellent David ""Byssus"" Mignot au piano. Une titre écrit avant la formation de Sarro, alors que Nico cherchait son chemin musical, entre son groupe Swim et un autre projet dont on parlera dans #entoijevoisdemain https://zcu.io/zoAOMis à jour : 18 mai 2020 à 17:00","",""
2020-05-18T08:50:00,"18 mai 2020 à 08:50","😭Il y a 3 ans, #ChrisCornell mettait tragiquement fin à ses jours... En ce jour, on pense à tout ce qu'il a apporté a...","😭Il y a 3 ans, #ChrisCornell mettait tragiquement fin à ses jours... En ce jour, on pense à tout ce qu'il a apporté au rock et à la scène grunge. Il a aussi été une influence importante pour Nico Sarro, qui avait choisi d'interpréter ce cover ⤵  https://zurl.co/bZ9nMis à jour : 18 mai 2020 à 08:50","",""
2020-05-17T17:51:00,"17 mai 2020 à 17:51","Demandez le programme #entoijevoisdemain !","Demandez le programme #entoijevoisdemain !\n⏩ La semaine prochaine, c'est BJÖRK, qui a écouté la voix de Nico Sarro et l'a même... [+ d'infos dans le vlog]\n⏩ La semaine suivant, c'est JEFF BUCKLEY...\nPortez-vous bien !","photos_and_videos/Photosdujournal_Eix909TVeA/98072878_282669639792909_4603476931470426112_o_282669633126243.jpg",""
2020-05-17T12:29:00,"17 mai 2020 à 12:29","Merci à Rock Français qui vient de partager 2 vidéos du projet #entoijevoisdemain !","Merci à Rock Français qui vient de partager 2 vidéos du projet #entoijevoisdemain !","",""
2020-05-17T09:30:00,"17 mai 2020 à 09:30","","","",""
2020-05-16T19:00:00,"16 mai 2020 à 19:00","✅ Tu as aimé les vidéos de ce matin ?","✅ Tu as aimé les vidéos de ce matin ?\n✅ Tu veux nous aider à faire connaître le projet #entoijevoisdemain et le destin de Nico Sarro ?\n👉 Voici plusieurs choses que tu peux faire pour nous chaque semaine :","photos_and_videos/Photosdujournal_Eix909TVeA/97995758_281885763204630_4102949646182121472_o_281885756537964.jpg",""
2020-05-16T13:57:00,"16 mai 2020 à 13:57","Un titre inédit de l'artiste maudit du rock français ! https://youtu.be/DJdhQ0aY1RM","Un titre inédit de l'artiste maudit du rock français ! https://youtu.be/DJdhQ0aY1RM","",""
2020-05-16T10:08:00,"16 mai 2020 à 10:08","Un titre inédit de l'artiste maudit du rock français ! https://youtu.be/DJdhQ0aY1RM","Un titre inédit de l'artiste maudit du rock français ! https://youtu.be/DJdhQ0aY1RM","",""
2020-05-16T10:07:00,"16 mai 2020 à 10:07","Un titre inédit de l'artiste maudit du rock français ! https://youtu.be/DJdhQ0aY1RM","Un titre inédit de l'artiste maudit du rock français ! https://youtu.be/DJdhQ0aY1RM","",""
2020-05-16T09:45:00,"16 mai 2020 à 09:45","Cette semaine dans #entoijevoisdemain :","Cette semaine dans #entoijevoisdemain :\nEn 🔴Live : un INÉDIT de Nico Sarro écrit avant SARRO\nDans le 🎬Vlog : où l'on longe dans une discussions sur la composition...\nMerci de nous suivre chaque samedi !!! 🙏\nLes vidéos ⤵ \nhttps://zcu.io/cncr","photos_and_videos/Photosdujournal_Eix909TVeA/97401702_281550359904837_4389745889804025856_o_281550353238171.jpg",""
2020-05-15T19:06:00,"15 mai 2020 à 19:06","Demain dans #entoijevoisdemain, on va parler dans le 🎬Vlog du processus de composition et d'écriture de Nico à cette ...","Demain dans #entoijevoisdemain, on va parler dans le 🎬Vlog du processus de composition et d'écriture de Nico à cette époque où il cherche son chemin.\nEt pour le 🔴Live, on vous propose un titre inédit de Nico datant de cette époque, une sorte de chaînon manquant avant Sarro !","photos_and_videos/Photosdujournal_Eix909TVeA/99131994_281063559953517_4932049578951180288_o_281063549953518.jpg",""
2020-05-15T08:50:00,"15 mai 2020 à 08:50","Les votes continuent... bouleversez les 1ère tendances !","Les votes continuent... bouleversez les 1ère tendances !\nRejoignez les Tipeuses et Tipeurs pour 2€ et - en plus des cadeaux -, ajoutez votre vote !\n😱 Lana Del Rey dernier ? \n🌑 Black Hole Sun plébiscité ?\nA vous de décider !\nhttps://zcu.io/xVQD","photos_and_videos/Photosdujournal_Eix909TVeA/97988174_280709599988913_1277037722929725440_o_280709596655580.jpg",""
